"","lat","lon","years","storminess","sst"
"1",70,0,2002,6.9120193554956,9.22187954076059
"2",71,0,2002,6.01313585016294,8.19542195082867
"3",72,0,2002,6.66899555787401,6.21737642603405
"4",73,0,2002,6.49876733462936,5.55042625475735
"5",74,0,2002,7.9947090641366,5.11689588865488
"6",75,0,2002,6.67091812811561,5.0666831486738
"7",76,0,2002,4.59021097451885,4.54481565957162
"8",77,0,2002,3.58746931288725,3.31197921435765
"9",78,0,2002,3.57519772410975,1.83026022615369
"10",79,0,2002,1.33720985249316,-1.07388415794241
"11",80,0,2002,NA,-1.78388891834018
"12",81,0,2002,NA,-1.80689990350279
"13",82,0,2002,NA,-1.7822251218346
"14",83,0,2002,NA,-1.77336418426979
"15",84,0,2002,NA,-1.77150800191274
"16",85,0,2002,NA,NA
"17",70,1,2002,6.55823664547922,9.62943364818192
"18",71,1,2002,5.94693841554771,8.31261225726018
"19",72,1,2002,7.50610560078296,6.73668232692131
"20",73,1,2002,4.63892001864841,5.59715227543264
"21",74,1,2002,5.92014249877831,5.21095079670301
"22",75,1,2002,5.32579659215845,5.43196932854472
"23",76,1,2002,3.45068676337213,4.68619708207428
"24",77,1,2002,3.06436381099237,3.77407120034312
"25",78,1,2002,3.12906542476932,2.98098554502837
"26",79,1,2002,2.29766395180872,-0.290725564407016
"27",80,1,2002,0.339397516885819,-1.64967399904678
"28",81,1,2002,NA,-1.80801983475733
"29",82,1,2002,NA,-1.78465163955276
"30",83,1,2002,NA,-1.77561960137962
"31",84,1,2002,NA,-1.77447374579049
"32",85,1,2002,NA,NA
"33",70,2,2002,5.99534950586291,9.96229030434878
"34",71,2,2002,7.30633842309617,8.80485315282952
"35",72,2,2002,8.2018847140002,7.26892965563874
"36",73,2,2002,3.76298956117953,5.74983906457672
"37",74,2,2002,4.36607064620896,5.28790607290744
"38",75,2,2002,4.20079778207969,5.65198306176575
"39",76,2,2002,3.19380872918554,4.75870053278257
"40",77,2,2002,3.94806439182622,4.24158028070817
"41",78,2,2002,3.9395339023059,3.49836610658364
"42",79,2,2002,3.40181877731946,0.69287109587905
"43",80,2,2002,0.644345286911362,-1.27219494786569
"44",81,2,2002,NA,-1.77330196586676
"45",82,2,2002,NA,-1.79017870768856
"46",83,2,2002,NA,-1.77593210744938
"47",84,2,2002,NA,-1.77657287619747
"48",85,2,2002,NA,NA
"49",70,3,2002,5.7989297002168,9.98540471918978
"50",71,3,2002,8.10940118965442,8.84302414308823
"51",72,3,2002,7.70972984366125,7.55435657953741
"52",73,3,2002,3.50556730234134,5.99267466349234
"53",74,3,2002,4.3060518123959,5.5269373262231
"54",75,3,2002,3.632444847608,5.72629694065459
"55",76,3,2002,3.86467286168471,4.88601230206731
"56",77,3,2002,5.0149152476239,4.69948345605066
"57",78,3,2002,4.49729248900206,4.33802747360274
"58",79,3,2002,4.25298499526416,1.31553480043544
"59",80,3,2002,1.51156715682685,-0.671725140226206
"60",81,3,2002,NA,-1.70112861835233
"61",82,3,2002,NA,-1.79021914965053
"62",83,3,2002,NA,-1.77838313544752
"63",84,3,2002,NA,-1.77895606324208
"64",85,3,2002,NA,NA
"65",70,4,2002,6.31133498924121,9.99891119818718
"66",71,4,2002,7.6731368383777,8.63981137258492
"67",72,4,2002,7.33037210120503,7.5391415875632
"68",73,4,2002,3.81760385407139,6.19299718178025
"69",74,4,2002,3.99107539645306,5.88611888543412
"70",75,4,2002,2.63989564482218,5.82863436251403
"71",76,4,2002,3.61352712307325,5.18455912237327
"72",77,4,2002,5.13618524579669,4.9610507661081
"73",78,4,2002,4.55504749303069,4.55018124821579
"74",79,4,2002,4.8043057792963,2.11833470683392
"75",80,4,2002,2.20815017095918,-0.281221703344232
"76",81,4,2002,0,-1.62881527943108
"77",82,4,2002,NA,-1.79938844539157
"78",83,4,2002,NA,-1.78206784753806
"79",84,4,2002,NA,-1.78209031529471
"80",85,4,2002,NA,NA
"81",70,5,2002,7.44486407812524,10.2075648270479
"82",71,5,2002,7.87007526955596,8.79985609331212
"83",72,5,2002,6.95972388575852,7.73429220109926
"84",73,5,2002,3.7509245078627,6.40352983017693
"85",74,5,2002,4,6.33057688478437
"86",75,5,2002,2.51170107887102,6.01405112910469
"87",76,5,2002,3.48165381581749,5.4902641699478
"88",77,5,2002,4.49875825656322,5.12456548206479
"89",78,5,2002,4.87228771641329,4.58896112484611
"90",79,5,2002,5.54685453158039,3.14901158827538
"91",80,5,2002,3.55946154760288,0.105942679241816
"92",81,5,2002,NA,-1.69898208344781
"93",82,5,2002,NA,-1.80394735746811
"94",83,5,2002,NA,-1.78896544882949
"95",84,5,2002,NA,-1.78431462320302
"96",85,5,2002,NA,NA
"97",70,6,2002,8.38275480226936,10.315471042877
"98",71,6,2002,7.81948019941946,8.99933981535177
"99",72,6,2002,6.32601078898511,8.03243241868367
"100",73,6,2002,3.87407072361765,6.6993642472708
"101",74,6,2002,3.75595290252736,6.657575685191
"102",75,6,2002,2.50106286536224,6.10280451150768
"103",76,6,2002,3.24312078681021,5.71826530890911
"104",77,6,2002,4.37126999817279,5.22391790196935
"105",78,6,2002,5.81589063905987,4.78280281872843
"106",79,6,2002,6.1190394863034,3.91869530524415
"107",80,6,2002,4.13270105874657,-0.032715476081481
"108",81,6,2002,NA,-1.7984325444723
"109",82,6,2002,NA,-1.80938863962398
"110",83,6,2002,NA,-1.79375108099585
"111",84,6,2002,NA,-1.78653893111133
"112",85,6,2002,NA,NA
"113",70,7,2002,8.37732524706855,10.2562336403449
"114",71,7,2002,8.25903327292185,8.9039470700834
"115",72,7,2002,6.32862543279953,7.83530377841795
"116",73,7,2002,3.5064941900465,7.10082118687099
"117",74,7,2002,3.07291639894249,7.10740219704599
"118",75,7,2002,2.17419864815661,6.45757339903937
"119",76,7,2002,4,5.91916016373483
"120",77,7,2002,4.5569073889336,5.34057049449412
"121",78,7,2002,7.05504513899588,4.98399820936218
"122",79,7,2002,7.56771279520325,4.05515803977482
"123",80,7,2002,3.44437576145828,-0.42470978441129
"124",81,7,2002,NA,-1.81492607749362
"125",82,7,2002,NA,-1.81108720202669
"126",83,7,2002,NA,-1.7969864379534
"127",84,7,2002,NA,-1.78795439978025
"128",85,7,2002,NA,NA
"129",70,8,2002,8.14051077969585,10.1173364192366
"130",71,8,2002,7.06373088903834,8.79102252032271
"131",72,8,2002,5.02440812407703,7.63639776577236
"132",73,8,2002,2.38056491366415,7.34242514421755
"133",74,8,2002,2.4439470071237,7.24773580507945
"134",75,8,2002,1.30026032359761,6.86319853750298
"135",76,8,2002,3.48967523060914,6.0360688886854
"136",77,8,2002,5.98881356428207,5.37838505056815
"137",78,8,2002,6.85060503283012,4.98081677502059
"138",79,8,2002,6.94419638969514,3.7020419375515
"139",80,8,2002,3.19475029971774,-0.749337413138817
"140",81,8,2002,NA,-1.819903549736
"141",82,8,2002,NA,-1.81407990721242
"142",83,8,2002,NA,-1.79733693495713
"143",84,8,2002,NA,-1.78789662554887
"144",85,8,2002,NA,NA
"145",70,9,2002,8.50620384181548,10.0491232770481
"146",71,9,2002,6.26149028349831,8.65300683585028
"147",72,9,2002,4.82862663101732,7.70450202972865
"148",73,9,2002,2,7.52408867903745
"149",74,9,2002,1.7509929405551,7.20659530013068
"150",75,9,2002,1.36648632729445,6.73110637289741
"151",76,9,2002,4.42087007118731,5.96611777513251
"152",77,9,2002,5.87873000182721,5.50117001902552
"153",78,9,2002,2.54868393140207,4.69812746085522
"154",79,9,2002,2.47895425118515,3.60929503810191
"155",80,9,2002,3.62244685915263,-0.605094415448334
"156",81,9,2002,NA,-1.82880078136924
"157",82,9,2002,NA,-1.81497698345974
"158",83,9,2002,NA,-1.79695273631842
"159",84,9,2002,NA,-1.78905211017656
"160",85,9,2002,NA,NA
"161",70,10,2002,8.32219528218201,9.95627580764014
"162",71,10,2002,6.56783940807033,8.46286970057686
"163",72,10,2002,4.50348618069048,7.9548175533376
"164",73,10,2002,1.25463921588022,7.95281567622012
"165",74,10,2002,0.929069482167719,7.3903121037312
"166",75,10,2002,2.05664589586535,6.59753234993597
"167",76,10,2002,6.62500239076051,6.15559191449918
"168",77,10,2002,5.89489295432601,5.66366740817744
"169",78,10,2002,0.666666666666667,4.55833307898136
"170",79,10,2002,1,3.41909986112382
"171",80,10,2002,3.60940972234913,-0.11851020968777
"172",81,10,2002,NA,-1.83405823642525
"173",82,10,2002,NA,-1.81763879986571
"174",83,10,2002,NA,-1.7981659951775
"175",84,10,2002,NA,-1.79006636890532
"176",85,10,2002,NA,NA
"177",70,11,2002,8.18866501075879,9.96199545654723
"178",71,11,2002,7.12746177807668,8.78412331419152
"179",72,11,2002,4.13371547661588,8.25354210542379
"180",73,11,2002,1.1861072753477,8.18720258162616
"181",74,11,2002,1.05704119262814,7.69932545859658
"182",75,11,2002,4.39972410568245,6.93909360588235
"183",76,11,2002,8.5103259920662,6.37351023378425
"184",77,11,2002,5.44287548050213,5.49481282640719
"185",78,11,2002,NA,4.57963251228519
"186",79,11,2002,NA,3.07761804474559
"187",80,11,2002,3.83333386218554,0.166133799306116
"188",81,11,2002,NA,-1.83321828798435
"189",82,11,2002,NA,-1.81917559442055
"190",83,11,2002,NA,-1.7979031224247
"191",84,11,2002,NA,-1.79088644202303
"192",85,11,2002,NA,NA
"193",70,12,2002,8.99689689655307,9.83742226039255
"194",71,12,2002,7.87335801872963,9.42470399301275
"195",72,12,2002,4.7071092419441,8.72928890234997
"196",73,12,2002,2.81667814745275,8.43470099489216
"197",74,12,2002,2.43105418279753,7.8789932705106
"198",75,12,2002,5.46169980746417,7.25346245692367
"199",76,12,2002,8.38991251627575,6.50088112874439
"200",77,12,2002,4.85065786487432,4.84488684729046
"201",78,12,2002,NA,4.49195433873576
"202",79,12,2002,NA,2.43944388487012
"203",80,12,2002,2.7764367084519,0.41988014935546
"204",81,12,2002,NA,-1.83475677940472
"205",82,12,2002,NA,-1.82219526091426
"206",83,12,2002,NA,-1.79798400634864
"207",84,12,2002,NA,-1.7907853371181
"208",85,12,2002,NA,NA
"209",70,13,2002,8.87034473879592,10.0559363567788
"210",71,13,2002,9.25903207518534,9.78227315522434
"211",72,13,2002,5.52701800820651,9.18130560036062
"212",73,13,2002,3.43982318212117,8.6585736295848
"213",74,13,2002,2.55208479097875,8.01538902042518
"214",75,13,2002,6.29069093518637,7.03866556786618
"215",76,13,2002,6.1559731400874,6.24665018465952
"216",77,13,2002,0.504870121502549,4.38857312909597
"217",78,13,2002,NA,4.35693210837427
"218",79,13,2002,NA,2.05281872844366
"219",80,13,2002,2.73678461271524,0.444104884575067
"220",81,13,2002,NA,-1.83063905236785
"221",82,13,2002,NA,-1.8241095137808
"222",83,13,2002,NA,-1.79927814913166
"223",84,13,2002,NA,-1.79267262867667
"224",85,13,2002,NA,NA
"225",70,14,2002,8.9371116630804,10.2316277944197
"226",71,14,2002,9.00985187199165,9.84047271029537
"227",72,14,2002,6.0916951069976,9.44577788460559
"228",73,14,2002,4.1833266122322,8.7138208663272
"229",74,14,2002,3.67311419979789,8.03708937188013
"230",75,14,2002,6.28855686488412,7.07909982660463
"231",76,14,2002,5.7010654182507,5.54857935058321
"232",77,14,2002,NA,3.80799987791105
"233",78,14,2002,NA,4.1145499496383
"234",79,14,2002,NA,1.66295821505966
"235",80,14,2002,2.6955329222973,0.424971984948166
"236",81,14,2002,1,-1.81691706639057
"237",82,14,2002,NA,-1.82608014029131
"238",83,14,2002,NA,-1.79968256875135
"239",84,14,2002,NA,-1.79312198380966
"240",85,14,2002,NA,NA
"241",70,15,2002,9.24534474617796,10.2266485115888
"242",71,15,2002,8.39059523276659,10.0324222446052
"243",72,15,2002,6.13894358262005,9.55114672038579
"244",73,15,2002,5.19167457768904,8.48544979600972
"245",74,15,2002,5.04811537083744,7.74620136906099
"246",75,15,2002,6.29281548611874,6.87084298053989
"247",76,15,2002,5.34131005620503,4.79754331913151
"248",77,15,2002,NA,NA
"249",78,15,2002,NA,NA
"250",79,15,2002,NA,1.51777157158989
"251",80,15,2002,2.10719197989335,0.318802205740203
"252",81,15,2002,1,-1.77894687188709
"253",82,15,2002,NA,-1.82880078136924
